    i     j      r(x)           v(x)           r(y)           v(y)           r(z)           v(z)
    1     2    0.00000000     0.00000000     0.00000000     0.00000000     0.99773700     1.21031839
    1     3   -1.17153200    -1.10613174     0.94096200     0.88843253     0.00000000     0.00000000
    1     4   -0.94096200    -0.88843253    -1.17153200    -1.10613174     0.00000000     0.00000000
    1     5    0.00000000    -0.00000000     0.00000000     0.00000000    -0.32274500    -0.53483237
    1     6    0.05168400     0.00018426    -0.04017700    -0.00014149     0.00000000     0.00000000
    1     7   -0.04017700    -0.00014149    -0.05168400    -0.00018426     0.00000000     0.00000000
    1     8   -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.12436100    -0.07206894
    1     9   -0.00000000    -0.00000000     0.00000000     0.00000000     1.13837000     0.95519496
    1    10   -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.02383400     0.02521898
    1    11    0.00000000     0.00000000     0.00000000    -0.00000000     0.00000000     0.00000000
    1    12   -0.00000000    -0.00000000     0.00000000    -0.00000000     0.00000000     0.00000000
    1    13   -0.56106600    -0.36443048    -0.54378300    -0.35320417     0.00000000     0.00000000
    1    14    0.54378300     0.35320417    -0.56106600    -0.36443048     0.00000000    -0.00000000
    1    15    0.14429500     0.07366344     0.14901400     0.07607238     0.00000000     0.00000000
    1    16    0.14901400     0.07607238    -0.14429500    -0.07366344    -0.00000000     0.00000000
    1    17   -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.00000000     0.00000000
    1    18    0.00000000     0.00000000     0.00000000     0.00000000    -0.00000000    -0.00000000
    1    19   -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.13322400    -0.11007539
    1    20    0.02876400     0.00614099    -0.02228400    -0.00475728     0.00000000     0.00000000
    1    21    0.02228400     0.00475728     0.02876400     0.00614099    -0.00000000    -0.00000000
    1    22   -0.00000000     0.00000000    -0.00000000     0.00000000     0.02322500     0.04491107
    1    23   -0.00577900    -0.00249871    -0.00666500    -0.00288183    -0.00000000    -0.00000000
    1    24    0.00666500     0.00288183    -0.00577900    -0.00249871     0.00000000    -0.00000000
    1    25    0.00000000     0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000
    1    26    0.00000000    -0.00000000     0.00000000    -0.00000000     0.08090100     0.09591086
    1    27    0.00000000     0.00000000     0.00000000     0.00000000    -0.09484200    -0.07887700
    1    28   -0.04440800    -0.04006029     0.02606900     0.02351703     0.00000000     0.00000000
    1    29   -0.02606900    -0.02351703    -0.04440800    -0.04006029    -0.00000000    -0.00000000
    1    30    0.00000000     0.00000000    -0.00000000    -0.00000000     0.00000000     0.00000000
    1    31   -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000
    1    32    0.00000000     0.00000000    -0.00000000    -0.00000000     0.29021400     0.24817275
    1    33    0.03741200     0.02365048     0.04606700     0.02912154     0.00000000     0.00000000
    1    34    0.04606700     0.02912154    -0.03741200    -0.02365048    -0.00000000    -0.00000000
    1    35   -0.01986300    -0.00544509     0.01537100     0.00421359    -0.00000000    -0.00000000
    1    36   -0.01537100    -0.00421359    -0.01986300    -0.00544509     0.00000000     0.00000000
    1    37   -0.00000000     0.00000000     0.00000000     0.00000000    -0.38142800    -0.27347492
    1    38   -0.00000000    -0.00000000     0.00000000     0.00000000     0.10475600     0.10871071
    1    39   -0.00000000     0.00000000    -0.00000000    -0.00000000     0.05057400     0.03391227
    1    40   -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00063700    -0.00028049
    1    41   -0.00162200    -0.01026697     0.00117000     0.00740698     0.00000000     0.00000000
    1    42   -0.00117000    -0.00740698    -0.00162200    -0.01026697    -0.00000000    -0.00000000
    1    43   -0.00000000    -0.00000000    -0.00000000     0.00000000    -0.00000000    -0.00000000
    1    44    0.00000000     0.00000000     0.00000000     0.00000000    -0.00000000    -0.00000000
    1    45   -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.00868300    -0.00218339
    1    46    0.00000000     0.00000000     0.00000000     0.00000000     0.00193300    -0.00148917
    1    47   -0.00000000    -0.00000000     0.00000000     0.00000000    -0.00000000    -0.00000000
    1    48    0.00000000     0.00000000     0.00000000     0.00000000    -0.01034300    -0.00325952
    1    49    0.00724100     0.00620617    -0.00549800    -0.00471177    -0.00000000    -0.00000000
    1    50    0.00549800     0.00471177     0.00724100     0.00620617    -0.00000000    -0.00000000
    1    51   -0.10685600    -0.07609356    -0.10431200    -0.07428139    -0.00000000     0.00000000
    1    52    0.10431200     0.07428139    -0.10685600    -0.07609356    -0.00000000    -0.00000000
    1    53   -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.00000000     0.00000000
    1    54    0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
    1    55   -0.00000000     0.00000000    -0.00000000    -0.00000000     0.00135800    -0.00158604
    1    56   -0.00000000    -0.00000000     0.00000000     0.00000000     0.01215700     0.03880356
    1    57   -0.04705200    -0.03235042    -0.04625100    -0.03179988     0.00000000     0.00000000
    1    58    0.04625100     0.03179988    -0.04705200    -0.03235042    -0.00000000     0.00000000
    1    59    0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
    1    60    0.00000000     0.00000000     0.00000000     0.00000000    -0.00000000    -0.00000000
    1    61   -0.01275900    -0.00525518    -0.01101000    -0.00453503     0.00000000    -0.00000000
    1    62   -0.01101000    -0.00453503     0.01275900     0.00525518     0.00000000     0.00000000
    1    63    0.00000000     0.00000000    -0.00000000     0.00000000     0.00000000    -0.00000000
    1    64   -0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
    1    65    0.00000000     0.00000000    -0.00000000    -0.00000000    -0.00000000     0.00000000
    1    66   -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.00000000     0.00000000
    1    67    0.00000000     0.00000000     0.00000000     0.00000000    -0.00000000     0.00000000
    1    68   -0.00919400    -0.00983589    -0.00843000    -0.00901877    -0.00000000    -0.00000000
    1    69    0.00843000     0.00901877    -0.00919400    -0.00983589     0.00000000     0.00000000
    1    70    0.00000000     0.00000000     0.00000000     0.00000000    -0.00000000     0.00000000
    1    71   -0.00000000    -0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
    1    72   -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.14074500    -0.07814834
    1    73   -0.04913600    -0.03204929    -0.04733700    -0.03087639     0.00000000     0.00000000
    1    74    0.04733700     0.03087639    -0.04913600    -0.03204929    -0.00000000    -0.00000000
    1    75    0.00000000     0.00000000    -0.00000000    -0.00000000     0.03027000     0.03198711
    1    76   -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.04114700    -0.02903593
    1    77   -0.01376200    -0.01210945    -0.01309900    -0.01152534     0.00000000     0.00000000
    1    78    0.01309900     0.01152534    -0.01376200    -0.01210945     0.00000000     0.00000000
    1    79   -0.00000000    -0.00000000     0.00000000     0.00000000    -0.00000000     0.00000000
    1    80    0.00000000     0.00000000     0.00000000     0.00000000    -0.00000000     0.00000000
    1    81    0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
    1    82    0.00000000     0.00000000    -0.00000000    -0.00000000     0.00000000     0.00000000
    1    83   -0.00000000    -0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
    1    84   -0.00000000    -0.00000000     0.00000000     0.00000000    -0.00000000     0.00000000
    1    85   -0.00299500    -0.00787532    -0.00305300    -0.00802923    -0.00000000    -0.00000000
    1    86   -0.00305300    -0.00802923     0.00299500     0.00787532     0.00000000    -0.00000000
    1    87   -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.11136700     0.00016244
    1    88   -0.01375700    -0.00758896     0.00995100     0.00548891    -0.00000000    -0.00000000
    1    89   -0.00995100    -0.00548891    -0.01375700    -0.00758896     0.00000000     0.00000000
    1    90   -0.00000000    -0.00000000    -0.00000000     0.00000000    -0.01316500    -0.01108903
    1    91   -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.04433300     0.01236071
    1    92    0.01731300     0.00579935     0.01650900     0.00552989    -0.00000000     0.00000000
    1    93   -0.01650900    -0.00552989     0.01731300     0.00579935    -0.00000000     0.00000000
    1    94   -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.05689400    -0.00917650
    1    95   -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.00000000
    1    96    0.00000000     0.00000000     0.00000000     0.00000000    -0.00000000     0.00000000
    1    97    0.00000000    -0.00000000     0.00000000    -0.00000000    -0.00841400     0.01073704
    1    98    0.00780900     0.00525048    -0.00504700    -0.00339363    -0.00000000     0.00000000
    1    99   -0.00504700    -0.00339363    -0.00780900    -0.00525048    -0.00000000     0.00000000
    1   100    0.00000000    -0.00000000    -0.00000000     0.00000000     0.00000000    -0.00000000
    2     3   -1.24016300    -1.54529737     0.99608600     1.24116749     0.00000000    -0.00000000
    2     4   -0.99608600    -1.24116749    -1.24016300    -1.54529737     0.00000000    -0.00000000
    2     5    0.00000000    -0.00000000     0.00000000     0.00000000    -0.77338400    -0.59226998
    2     6   -0.30482600    -0.43930532     0.23695800     0.34149843     0.00000000     0.00000000
    2     7    0.23695800     0.34149843     0.30482600     0.43930532    -0.00000000    -0.00000000
    2     8    0.00000000     0.00000000     0.00000000     0.00000000     0.75831700     0.69715337
    2     9    0.00000000     0.00000000    -0.00000000    -0.00000000    -1.44102800    -0.74847077
    2    10   -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.44242000     0.35142321
    2    11    0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
    2    12    0.00000000     0.00000000    -0.00000000    -0.00000000     0.00000000     0.00000000
    2    13    0.39631000     0.13582649     0.38410300     0.13164342     0.00000000     0.00000000
    2    14   -0.38410300    -0.13164342     0.39631000     0.13582649    -0.00000000    -0.00000000
    2    15   -0.59262300    -0.39092230    -0.61200400    -0.40370776     0.00000000     0.00000000
    2    16   -0.61200400    -0.40370776     0.59262300     0.39092230     0.00000000     0.00000000
    2    17    0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
    2    18    0.00000000     0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000
    2    19   -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.46014300    -0.46954530
    2    20   -0.05978200     0.00167234     0.04631300    -0.00129563     0.00000000     0.00000000
    2    21   -0.04631300     0.00129563    -0.05978200     0.00167234    -0.00000000    -0.00000000
    2    22   -0.00000000    -0.00000000    -0.00000000     0.00000000     0.08713900     0.10007369
    2    23   -0.16683400    -0.10771948    -0.19239300    -0.12422235    -0.00000000    -0.00000000
    2    24    0.19239300     0.12422235    -0.16683400    -0.10771948    -0.00000000    -0.00000000
    2    25    0.00000000     0.00000000     0.00000000     0.00000000    -0.00000000    -0.00000000
    2    26   -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.31154700     0.24064351
    2    27   -0.00000000    -0.00000000    -0.00000000    -0.00000000     0.10032900     0.08214421
    2    28    0.12069800     0.08356535    -0.07085300    -0.04905585    -0.00000000    -0.00000000
    2    29    0.07085300     0.04905585     0.12069800     0.08356535     0.00000000     0.00000000
    2    30   -0.00000000    -0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
    2    31    0.00000000     0.00000000     0.00000000     0.00000000    -0.00000000    -0.00000000
    2    32   -0.00000000    -0.00000000     0.00000000     0.00000000     0.17085600     0.17221366
    2    33    0.04578700     0.02773384     0.05638000     0.03415022    -0.00000000     0.00000000
    2    34    0.05638000     0.03415022    -0.04578700    -0.02773384    -0.00000000    -0.00000000
    2    35    0.04645900     0.02704952    -0.03595200    -0.02093186     0.00000000     0.00000000
    2    36    0.03595200     0.02093186     0.04645900     0.02704952    -0.00000000    -0.00000000
    2    37   -0.00000000    -0.00000000     0.00000000     0.00000000     0.24750400     0.06306245
